Entry name	Protein names	Status	Gene names  (primary )
UBC_GORGO	Polyubiquitin-C [Cleaved into: Ubiquitin]	reviewed	UBC
UBC_MOUSE	Polyubiquitin-C [Cleaved into: Ubiquitin; Ubiquitin-related 1; Ubiquitin-related 2]	reviewed	Ubc
UBP30_DROME	Ubiquitin carboxyl-terminal hydrolase 30 homolog (dUSP30) (EC 3.4.19.12) (Deubiquitinating enzyme 30 homolog) (Ubiquitin thioesterase 30 homolog) (Ubiquitin-specific-processing protease 30 homolog) (Ub-specific protease 30 homolog)	reviewed	Usp30
UBB_BOVIN	Polyubiquitin-B [Cleaved into: Ubiquitin]	reviewed	UBB
UBB_HORSE	Polyubiquitin-B [Cleaved into: Ubiquitin; Ubiquitin-related]	reviewed	UBB
UBB_PONPY	Polyubiquitin-B [Cleaved into: Ubiquitin]	reviewed	UBB
UBB_SHEEP	Polyubiquitin-B [Cleaved into: Ubiquitin-related; Ubiquitin]	reviewed	UBB
UBB_MOUSE	Polyubiquitin-B [Cleaved into: Ubiquitin]	reviewed	Ubb
UBC_BOVIN	Polyubiquitin-C [Cleaved into: Ubiquitin-related; Ubiquitin]	reviewed	UBC
UBC_PIG	Polyubiquitin-C [Cleaved into: Ubiquitin-related; Ubiquitin]	reviewed	UBC
UBB_CAVPO	Polyubiquitin-B [Cleaved into: Ubiquitin]	reviewed	UBB
UBB_RAT	Polyubiquitin-B [Cleaved into: Ubiquitin]	reviewed	Ubb
UBC_PONPY	Polyubiquitin-C [Cleaved into: Ubiquitin]	reviewed	UBC
UBB_GORGO	Polyubiquitin-B [Cleaved into: Ubiquitin]	reviewed	UBB
UBB_PANTR	Polyubiquitin-B [Cleaved into: Ubiquitin]	reviewed	UBB
UBC_PANTR	Polyubiquitin-C [Cleaved into: Ubiquitin]	reviewed	UBC
UBC_RAT	Polyubiquitin-C [Cleaved into: Ubiquitin; Ubiquitin-related]	reviewed	Ubc
B6VIZ7_ASPFM	Pigment biosynthesis protein reddish-pink 1 (Fragment)	unreviewed	ARP1
B6VIZ8_ASPFM	Pigment biosynthesis protein reddish-pink 1 (Fragment)	unreviewed	ARP1
B6VIZ6_ASPFM	Pigment biosynthesis protein reddish-pink 1 (Fragment)	unreviewed	ARP1
Q6UW64_HUMAN	PINK1	unreviewed	
A0A0A9X0X9_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	Pink1_0
A0A090KRG7_STRRB	Serine/threonine-protein kinase PINK1,mitochondrial (Uncharacterized protein)	unreviewed	
F1KYY1_ASCSU	Serine threonine-protein kinase pink (Serine/threonine-protein kinase pink-1)	unreviewed	
W8BGA2_CERCA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A0A0X3NSC3_SCHSO	Serine/threonine-protein kinase PINK1 (Serine/threonine-protein kinase pink-1)	unreviewed	PINK1
A0A0X3P326_SCHSO	Serine/threonine-protein kinase PINK1 (Uncharacterized protein)	unreviewed	PINK1
A0A151X8R5_9HYME	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
K1RGW2_CRAGI	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
K1Q2P0_CRAGI	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
E0W1I1_PEDHC	Serine/threonine-protein kinase PINK1, putative (EC 2.7.11.1)	unreviewed	
F1L0N5_ASCSU	Serine/threonine-protein kinase pink-1	unreviewed	
A0A0A1XEZ6_BACCU	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A8WUG0_CAEBR	Protein CBR-PINK-1 (Fragment)	unreviewed	brap-2
A0A131XJG3_9ACAR	Putative serine/threonine-protein kinase pink1 (Fragment)	unreviewed	
E1ZWG4_CAMFO	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A026VVQ8_CERBI	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
G0NAZ5_CAEBE	CBN-PINK-1 protein	unreviewed	Cbn-pink-1
E2C523_HARSA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A0B2VW24_TOXCA	Serine/threonine-protein kinase pink-1, mitochondrial	unreviewed	pink-1
A0A087TWQ6_9ARAC	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	
A0A0B2UVK5_TOXCA	Serine/threonine-protein kinase pink-1, mitochondrial	unreviewed	pink-1
A0A0C9QG46_9HYME	Pink1_1 protein	unreviewed	Pink1_1
A0A0C9R6K9_9HYME	Pink1_0 protein	unreviewed	Pink1_0
U3NGQ0_CAEEL	Pten induced putative kinase I (EC 2.7.11.1) (Fragment)	unreviewed	pink-1
A0A068WFA1_ECHGR	Serine:threonine protein kinase PINK1	unreviewed	
A0A0N0BEL1_9HYME	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A0H5S824_BRUMA	BMA-PINK-1	unreviewed	Bma-pink-1
A0A0M4ESY6_DROBS	Pink1	unreviewed	
V9IEH2_APICE	Serine/threonine-protein kinase PINK1	unreviewed	
A0A146KKU6_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	Pink1
A0A0A9WAT5_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	Pink1_2
A0A0A9X3Z2_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	Pink1_1
A0A0A9Y2P9_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	Pink1_3
A0A034VJS8_BACDO	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A0A132AJY9_SARSC	Serine/threonine-protein kinase PINK1, mitochondrial-like protein	unreviewed	
D6WMX4_TRICA	Serine/threonine-protein kinase PINK1, mitochondrial-like Protein	unreviewed	
A0A0K8UMI6_BACLA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1_10
F4W7I9_ACREC	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A068Y222_ECHMU	Serine:threonine protein kinase PINK1	unreviewed	
V5G2L1_ANOGL	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A0A0L7R0L1_9HYME	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A154PHW6_9HYME	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A094ZDY4_SCHHA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A151I951_9HYME	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
E3M4K9_CAERE	CRE-PINK-1 protein	unreviewed	Cre-pink-1
U3FHM8_CALJA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
F7H674_MACMU	Serine/threonine-protein kinase PINK1, mitochondrial (Uncharacterized protein)	unreviewed	PINK1
T0MJD2_CAMFR	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
S7MI45_MYOBR	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
F7HEJ2_CALJA	Uncharacterized protein	unreviewed	PINK1
F7EU91_CALJA	Uncharacterized protein	unreviewed	PINK1
H9F4I5_MACMU	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	PINK1
M3YXD5_MUSPF	Uncharacterized protein	unreviewed	PINK1
L9L0R7_TUPCH	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
F6YRG3_ORNAN	Uncharacterized protein	unreviewed	PINK1
W5PH75_SHEEP	Uncharacterized protein	unreviewed	PINK1
H0X8F0_OTOGA	Uncharacterized protein	unreviewed	PINK1
H2N8R0_PONAB	Uncharacterized protein	unreviewed	PINK1
A0A096N783_PAPAN	Uncharacterized protein	unreviewed	PINK1
A0A096NZ31_PAPAN	Uncharacterized protein	unreviewed	PINK1
G3W205_SARHA	Uncharacterized protein (Fragment)	unreviewed	PINK1
G3W206_SARHA	Uncharacterized protein (Fragment)	unreviewed	PINK1
U6DCG1_NEOVI	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	PINK1
G3UI56_LOXAF	Uncharacterized protein	unreviewed	PINK1
G3TBJ9_LOXAF	Uncharacterized protein	unreviewed	PINK1
A0A0D9S8C2_CHLSB	Uncharacterized protein	unreviewed	PINK1
L8HZS8_9CETA	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	
G1L8D9_AILME	Uncharacterized protein (Fragment)	unreviewed	PINK1
G3RF52_GORGO	Uncharacterized protein	unreviewed	PINK1
G3SHB7_GORGO	Uncharacterized protein	unreviewed	PINK1
G1PI55_MYOLU	Uncharacterized protein (Fragment)	unreviewed	PINK1
L5JV51_PTEAL	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
G1SQQ8_RABIT	Uncharacterized protein	unreviewed	PINK1
A0A091DMZ6_FUKDA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
H0VU48_CAVPO	Uncharacterized protein	unreviewed	PINK1
I3MQ55_ICTTR	Uncharacterized protein	unreviewed	PINK1
G3H9T0_CRIGR	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	
G5C4W7_HETGA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A2AM76_MOUSE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	Pink1
A2AM78_MOUSE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	Pink1
Q5DU52_MOUSE	MFLJ00387 protein (Fragment)	unreviewed	Pink1
Q6IS31_MOUSE	Pink1 protein (Fragment)	unreviewed	Pink1
Q3U258_MOUSE	Putative uncharacterized protein	unreviewed	Pink1
Q0W9C2_9POTV	Polyprotein (Fragment)	unreviewed	
A0A0S7KPJ1_9TELE	PINK1	unreviewed	PINK1
H1A3D9_TAEGU	Uncharacterized protein	unreviewed	PINK1
H3BE17_LATCH	Uncharacterized protein	unreviewed	PINK1
V9KSB8_CALMI	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	
V9KI98_CALMI	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	
B5X237_SALSA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
H2MMT9_ORYLA	Uncharacterized protein	unreviewed	pink1
M7AUE5_CHEMY	Serine/threonine-protein kinase PINK1	unreviewed	
A0A0Q3US26_AMAAE	Serine/threonine-protein kinase PINK1	unreviewed	
U3K7I4_FICAL	Uncharacterized protein	unreviewed	PINK1
I3KII5_ORENI	Uncharacterized protein	unreviewed	pink1
F1QTR3_DANRE	Uncharacterized protein	unreviewed	pink1
B5TXD9_DANRE	PTEN-induced putative kinase 1	unreviewed	pink1
B5DFT6_DANRE	PTEN induced putative kinase 1	unreviewed	pink1
A0A0P7Y034_9TELE	Serine/threonine-protein kinase PINK1, mitochondrial-like	unreviewed	
U3IJA2_ANAPL	Uncharacterized protein	unreviewed	PINK1
R0LSK0_ANAPL	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	
K7FC75_PELSI	Uncharacterized protein	unreviewed	PINK1
A0A0F8AEP8_LARCR	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A0S7KQQ9_9TELE	PINK1 (Fragment)	unreviewed	PINK1
A4GRC2_CARAU	PTEN induced kinase 1-like protein (Fragment)	unreviewed	PINK1
A0A151MJ81_ALLMI	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A0A146MSB8_FUNHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A146VN84_FUNHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A146PHT2_FUNHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
A0A146ZU42_FUNHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	
H2T6D7_TAKRU	Uncharacterized protein	unreviewed	pink1
H2T6D8_TAKRU	Uncharacterized protein	unreviewed	pink1
G1N1L4_MELGA	Uncharacterized protein (Fragment)	unreviewed	PINK1
