Entry name	Protein names	Status	Gene names  (primary )
A0A096P0S5_PAPAN	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
Q0EAA9_HORSE	Monoamine oxidase B (Fragment)	unreviewed	MAOB
G3TEC4_LOXAF	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G3UAR5_LOXAF	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOB
A0A0D9RN88_CHLSB	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
I3LEH4_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
K7GP88_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOA
F1RX00_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOA
K7GN75_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOA
G1QPV3_NOMLE	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G3QD91_GORGO	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G1NVL8_MYOLU	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOB
A0A161LR16_9MICO	Phenylacetaldehyde dehydrogenase	unreviewed	maoB
A1RDE6_ARTAT	Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)	unreviewed	feaB
A1RAQ2_ARTAT	Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)	unreviewed	maoB
A1RCH3_ARTAT	Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)	unreviewed	maoB
Q0KDE3_CUPNH	Monoamine oxidase (Flavin containing) (EC 1.4.3.4)	unreviewed	maoB
G3V9Z3_RAT	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	Maoa
Q99PC8_RAT	Monoamine oxidase-B (Fragment)	unreviewed	Maob
A0A0P6JED9_HETGA	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
E9PVL9_MOUSE	Amine oxidase [flavin-containing] B	unreviewed	Maob
E9Q3X6_MOUSE	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	Maob
G3UZM5_MOUSE	Amine oxidase [flavin-containing] B	unreviewed	Maob
B1WAY3_XENTR	LOC100145726 protein (Uncharacterized protein)	unreviewed	maoa
H0Z7I8_TAEGU	Uncharacterized protein	unreviewed	
H0ZZZ9_TAEGU	Uncharacterized protein	unreviewed	
H0Z785_TAEGU	Uncharacterized protein	unreviewed	MAOB
F6V9F4_XENTR	Uncharacterized protein (Fragment)	unreviewed	maob
F6V922_XENTR	Uncharacterized protein (Fragment)	unreviewed	maoa
U3JFJ7_FICAL	Uncharacterized protein	unreviewed	MAOB
F1NIY7_CHICK	Uncharacterized protein	unreviewed	MAOA
F1NAW4_CHICK	Uncharacterized protein	unreviewed	MAOB
G1KUI0_ANOCA	Uncharacterized protein (Fragment)	unreviewed	MAOB
D4QF59_COTJA	Monoamine oxidase B (Fragment)	unreviewed	MAOB
U3IYQ3_ANAPL	Uncharacterized protein	unreviewed	MAOB
K7G7V5_PELSI	Uncharacterized protein	unreviewed	MAOB
A0A151NR40_ALLMI	Amine oxidase [flavin-containing] B	unreviewed	MAOB
H2UED3_TAKRU	Uncharacterized protein	unreviewed	maob
G1NP38_MELGA	Uncharacterized protein (Fragment)	unreviewed	MAOB
