Entry	Entry name	Protein names	Status	Gene names  (primary )
D7L1V4	D7L1V4_ARALL	Defective in RNA-directed DNA methylation 1	unreviewed	DRD1
A0A1P8B0G3	A0A1P8B0G3_ARATH	SNF2 domain-containing protein / helicase domain-containing protein	unreviewed	DRD1
Q8H0L8	Q8H0L8_SOLTU	Alcohol NADP+ oxidoreductase	unreviewed	drd-1
A0A1A8BU22	A0A1A8BU22_9TELE	Dopamine receptor D1 (Fragment)	unreviewed	DRD1
A0A1A8DX07	A0A1A8DX07_9TELE	Dopamine receptor D1 (Fragment)	unreviewed	DRD1
A0A1A8QI34	A0A1A8QI34_9TELE	Dopamine receptor D1	unreviewed	DRD1
A0A1A7YMC6	A0A1A7YMC6_9TELE	Dopamine receptor D1 (Fragment)	unreviewed	DRD1
A0A1A7WBT5	A0A1A7WBT5_9TELE	Dopamine receptor D1	unreviewed	DRD1
A0A1D5PNU9	A0A1D5PNU9_CHICK	Uncharacterized protein	unreviewed	DRD1
A0A1V4KU97	A0A1V4KU97_PATFA	D(1A) dopamine receptor	unreviewed	DRD1
U3I221	U3I221_ANAPL	Dopamine receptor D1	unreviewed	DRD1
I6Q8X7	I6Q8X7_ANAPL	Dopamine D1 receptor	unreviewed	DRD1
F6RJ06	F6RJ06_XENTR	Dopamine receptor D1	unreviewed	drd1
A0A0C5L0I9	A0A0C5L0I9_AMPSE	Dopamine receptor D1	unreviewed	DRD1
A0A1U7SDX7	A0A1U7SDX7_ALLSI	D(1A) dopamine receptor	unreviewed	DRD1
H3BDP9	H3BDP9_LATCH	Dopamine receptor D1	unreviewed	DRD1
A0A0S7EN82	A0A0S7EN82_9TELE	DRD1 (Fragment)	unreviewed	DRD1
