Entry	Entry name	Protein names	Status	Gene names  (primary )
Q1X6Z6	BDNF_CHABO	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X6Z9	BDNF_TROHA	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
A0A0E3SU01	A0A0E3SU01_HUMAN	Brain-derived neurotrophic factor (Brain-derived neurotrophic factor isoform 1)	unreviewed	BDNF
Q969N8	Q969N8_HUMAN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF 1-5
Q6T2C9	Q6T2C9_HUMAN	Brain-derived neurotrophic factor isoform 1 (Fragment)	unreviewed	BDNF
Q304R1	Q304R1_HUMAN	Brain-derived neurotrophic factor preproprotein isoform 2 (Fragment)	unreviewed	BDNF
Q96TC2	Q96TC2_HUMAN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF 2-5
Q6YNR1	Q6YNR1_HUMAN	Brain-derived neurotrophic factor BDNF7	unreviewed	BDNF
E9PMP3	E9PMP3_HUMAN	Brain-derived neurotrophic factor	unreviewed	BDNF
A0A0S2Z3E7	A0A0S2Z3E7_HUMAN	Brain-derived neurotrophic factor isoform 2 (Fragment)	unreviewed	BDNF
A0A0S2Z3M9	A0A0S2Z3M9_HUMAN	Brain-derived neurotrophic factor isoform 3 (Fragment)	unreviewed	BDNF
D2JZG2	D2JZG2_PHOFA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A023NJQ3	A0A023NJQ3_CROPR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZI3	U5TZI3_CROFO	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1U7SM29	A0A1U7SM29_TARSY	brain-derived neurotrophic factor	unreviewed	BDNF
U5TWK6	U5TWK6_CRONG	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B4Z9I5	A0A1B4Z9I5_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5U8W8	U5U8W8_UROGR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B4Z9I6	A0A1B4Z9I6_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D2JZG1	D2JZG1_PUSCA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1J0N2Q7	A0A1J0N2Q7_SCAOR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1J0N2L6	A0A1J0N2L6_SCAAQ	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
F7AYW9	F7AYW9_CALJA	Brain derived neurotrophic factor	unreviewed	BDNF
D2JZG0	D2JZG0_PHOLR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TZU3	U5TZU3_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
I2CTP4	I2CTP4_MACMU	Brain-derived neurotrophic factor (Brain-derived neurotrophic factor isoform b preproprotein)	unreviewed	BDNF
U5U973	U5U973_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
D2JZG7	D2JZG7_MIRAN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B3LF26	A0A1B3LF26_CROBC	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1J0N2M5	A0A1J0N2M5_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B3LF36	A0A1B3LF36_CROBC	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
U5TWQ3	U5TWQ3_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
