c1.diseaseId	c1.name	c2.type	c2.diseaseClassName	c0.Ngenes	c0.diseaseId2	c0.source
C0030567	Parkinson Disease	phenotype	Hemic and Lymphatic Diseases	1	C0001416	ALL
C0030567	Parkinson Disease	disease	Neoplasms	1	C0001630	ALL
C0030567	Parkinson Disease	disease	Nervous System Diseases ; Pathological Conditions, Signs and Symptoms	1	C0001825	ALL
C0030567	Parkinson Disease	group	Occupational Diseases	1	C0001828	ALL
C0030567	Parkinson Disease	disease	null	1	C0002625	ALL
C0030567	Parkinson Disease	phenotype	Immune System Diseases	1	C0002792	ALL
C0030567	Parkinson Disease	disease	Animal Diseases ; Bacterial Infections and Mycoses	1	C0002797	ALL
C0030567	Parkinson Disease	disease	Hemic and Lymphatic Diseases	1	C0002884	ALL
C0030567	Parkinson Disease	disease	Eye Diseases	1	C0003081	ALL
C0030567	Parkinson Disease	disease	Nervous System Diseases ; Pathological Conditions, Signs and Symptoms	1	C0003113	ALL
C0030567	Parkinson Disease	phenotype	Pathological Conditions, Signs and Symptoms	1	C0003129	ALL
C0030567	Parkinson Disease	group	Digestive System Diseases ; Neoplasms	1	C0003463	ALL
C0030567	Parkinson Disease	disease	Cardiovascular Diseases	1	C0003499	ALL
C0030567	Parkinson Disease	disease	Eye Diseases	1	C0003534	ALL
C0030567	Parkinson Disease	disease	Nervous System Diseases ; Pathological Conditions, Signs and Symptoms	1	C0003550	ALL
C0030567	Parkinson Disease	group	Virus Diseases	1	C0003756	ALL
C0030567	Parkinson Disease	disease	null	1	C0003834	ALL
C0030567	Parkinson Disease	disease	Immune System Diseases	1	C0003907	ALL
C0030567	Parkinson Disease	disease	Parasitic Diseases	1	C0003950	ALL
C0030567	Parkinson Disease	phenotype	Respiratory Tract Diseases	1	C0004144	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0004366	ALL
C0030567	Parkinson Disease	phenotype	Male Urogenital Diseases	1	C0005001	ALL
C0030567	Parkinson Disease	disease	Digestive System Diseases	1	C0005403	ALL
C0030567	Parkinson Disease	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Eye Diseases	1	C0005744	ALL
C0030567	Parkinson Disease	phenotype	Musculoskeletal Diseases	1	C0005974	ALL
C0030567	Parkinson Disease	group	Bacterial Infections and Mycoses	1	C0006015	ALL
